_pageUrl,title,year,text,people,tags,,,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Captain America: The First Avenger,-2011,"Steve Rogers a rejected military soldier transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",Dir: Joe Johnston With: Chris Evans Hugo Weaving Samuel L. Jackson,Action , Adventure , Sci-Fi,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Peter Pan,-2003,The Darling family children receive a visit from Peter Pan who takes them to Never Never Land where an ongoing war with the evil Pirate Captain Hook is taking place.,Dir: P.J. Hogan With: Jeremy Sumpter Jason Isaacs Olivia Williams,Adventure , Family , Fantasy , Romance,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Cars,-2006,A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs where he finds the true meaning of friendship and family.,Dir: John Lasseter Joe Ranft With: Owen Wilson Bonnie Hunt Paul Newman,Animation , Adventure , Comedy , Family , Sport,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Wild,-2014,A chronicle of one woman's 1100-mile solo hike undertaken as a way to recover from a recent personal tragedy.,Dir: Jean-Marc Vallée With: Reese Witherspoon Laura Dern Gaby Hoffmann,Adventure , Biography , Drama , History,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Stand by Me,-1986,After the death of a friend a writer recounts a boyhood journey to find the body of a missing boy.,Dir: Rob Reiner With: Wil Wheaton River Phoenix Corey Feldman,Adventure , Drama,,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Maleficent,-2014,A vengeful fairy is driven to curse an infant princess only to discover that the child may be the one person who can restore peace to their troubled land.,Dir: Robert Stromberg With: Angelina Jolie Elle Fanning Sharlto Copley,Action , Adventure , Family , Fantasy , Romance,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Harry Potter and the Goblet of Fire,-2005,Harry finds himself mysteriously selected as an under-aged competitor in a dangerous tournament between three schools of magic.,Dir: Mike Newell With: Daniel Radcliffe Emma Watson Rupert Grint,Adventure , Family , Fantasy , Mystery,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,The Princess Bride,-1987,While home sick in bed a young boy's grandfather reads him a story called The Princess Bride.,Dir: Rob Reiner With: Cary Elwes Mandy Patinkin Robin Wright,Adventure , Comedy , Family , Fantasy , Romance,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Jurassic Park,-1993,During a preview tour a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok.,Dir: Steven Spielberg With: Sam Neill Laura Dern Jeff Goldblum,Adventure , Sci-Fi , Thriller,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,The Twilight Saga: Breaking Dawn - Part 2,-2012,After the birth of Renesmee the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.,Dir: Bill Condon With: Kristen Stewart Robert Pattinson Taylor Lautner,Adventure , Drama , Fantasy , Romance,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,The Man from U.N.C.L.E.,(1964 TV Series),The two top agents of the United Network Command for Law and Enforcement fight the enemies of peace particularly the forces of THRUSH.,With: Robert Vaughn David McCallum Leo G. Carroll,Action , Adventure , Crime,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Star Wars: Episode VI - Return of the Jedi,-1983,After rescuing Han Solo from the palace of Jabba the Hutt the rebels attempt to destroy the second Death Star while Luke struggles to make Vader return from the dark side of the Force.,Dir: Richard Marquand With: Mark Hamill Harrison Ford Carrie Fisher,Action , Adventure , Fantasy , Sci-Fi,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,The Lion King,-1994,Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.,Dir: Roger Allers Rob Minkoff With: Matthew Broderick Jeremy Irons James Earl Jones,Animation , Adventure , Drama , Family , Musical,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,The Amazing Spider-Man 2,-2014,When New York is put under siege by Oscorp it is up to Spider-Man to save the city he swore to protect as well as his loved ones.,Dir: Marc Webb With: Andrew Garfield Emma Stone Jamie Foxx,Action , Adventure , Fantasy , Sci-Fi,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,The Hunger Games: Catching Fire,-2013,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,Dir: Francis Lawrence With: Jennifer Lawrence Josh Hutcherson Liam Hemsworth,Adventure , Sci-Fi , Thriller,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,In the Heart of the Sea,-2015,Based on the 1820 event a whaling ship is preyed upon by a sperm whale stranding its crew at sea for 90 days thousands of miles from home.,Dir: Ron Howard With: Chris Hemsworth Cillian Murphy Brendan Gleeson,Action , Adventure , Drama , History,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Mission: Impossible III,-2006,Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fianceé in response .,Dir: J.J. Abrams With: Tom Cruise Michelle Monaghan Ving Rhames,Action , Adventure , Thriller,,,,,,,,
